system:index,MNDWI,NBR,NDMI,NDVI,block_id,blue,class_numeric,dist_to_water,elev_rel_lake,green,nir,red,reserve_id,slope,swir1,swir2,.geo
17206,0.86791426,0.6260077,0.5260198,-0.21935987,8.53603984E8,0.06752,1.0,0.0,1.7053026E-13,0.09209125,0.026435,0.0398275,5,0.0,0.0064425,0.0068275,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.924297994669677,46.908499468667145]}"
17207,0.8308209,0.5283569,0.5223776,-0.21935987,8.53603984E8,0.06624125,1.0,0.0,1.7053026E-13,0.088585,0.02644875,0.0398275,5,0.0,0.0093575,0.008725,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.9246917574429485,46.908501241543775]}"
17208,0.83458763,0.75051904,0.5493972,-0.16379148,8.53603984E8,0.060755,1.0,0.0,1.7053026E-13,0.0860275,0.028745,0.0381775,5,0.0,0.00849125,0.0040775,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.925085520242192,46.908503013065165]}"
17209,0.8523872,0.68921554,0.58012265,-0.117655866,8.53603984E8,0.06239125,1.0,0.0,1.7053026E-13,0.0845425,0.02644875,0.0315225,5,0.0,0.007075,0.00546625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.925479283067416,46.908504783231294]}"
17210,0.84548026,0.65288967,0.58012265,-0.08800018,8.53603984E8,0.0613875,1.0,0.0,1.7053026E-13,0.08232875,0.02644875,0.0324575,5,0.0,0.007075,0.00549375,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.925873045918572,46.908506552042184]}"
17211,0.8418957,0.70940644,0.58455974,-0.11386003,8.53603984E8,0.0577025,1.0,0.0,1.7053026E-13,0.08100875,0.0306975,0.03852125,5,0.0,0.00757,0.0049575,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.926266808795699,46.90850831949783]}"
17212,0.842519,0.6435364,0.5680031,-0.11476975,8.53603984E8,0.05872,1.0,0.0,1.7053026E-13,0.08100875,0.02873125,0.0381225,5,0.0,0.00757,0.0057825,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.926660571698695,46.908510085598216]}"
17213,0.8418957,0.43964258,0.5680031,-0.11310781,8.53603984E8,0.05667125,1.0,0.0,1.7053026E-13,0.0822325,0.02873125,0.0350975,5,0.0,0.00757,0.010815,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.927054334627571,46.90851185034333]}"
17214,0.665499,0.36608717,0.2280986,-0.2013038,8.53603984E8,0.06321625,1.0,0.0,1.7053026E-13,0.0895475,0.03403875,0.04726625,5,0.0,0.01927125,0.01456875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.927448097582318,46.90851361373321]}"
17215,0.5277866,0.15316793,0.073726274,-0.26303157,8.53603984E8,0.08491375,1.0,0.0,1.7053026E-13,0.11552125,0.043045,0.070985,5,0.0,0.0343,0.02963875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.927841860562906,46.90851537576783]}"
17216,0.07978157,0.08378176,-0.008088607,-0.03267731,8.53703984E8,0.0970275,2.0,30.0,2.0,0.1409725,0.1177625,0.11769375,5,4.169813,0.112345,0.0907025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.928235623569351,46.90851713644723]}"
17217,-0.16804741,-0.025171624,-0.09738848,0.077818945,8.53703984E8,0.10965,2.0,30.0,3.0,0.1355275,0.1647325,0.140945,5,1.3573862,0.1751,0.140065,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.928629386601586,46.908518895771365]}"
17218,-0.24788494,0.11001594,-0.079218775,0.23912002,8.53703984E8,0.0559425,2.0,42.426407,3.0,0.0831675,0.11461375,0.0661725,5,0.0,0.13262625,0.0948275,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.929023149659591,46.90852065374023]}"
